Sky,AirTemp,Humidity,Wind,Water,Forecast,EnjoySport
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Rainy,Cold,High,Strong,Warm,Change,No
Sunny,Warm,High,Strong,Cool,Change,Yes
Cloudy,Warm,Normal,Weak,Warm,Same,Yes
Sunny,Cold,Normal,Weak,Warm,Same,No
Rainy,Cold,High,Strong,Cool,Change,No
Sunny,Warm,High,Weak,Warm,Same,Yes
Cloudy,Cold,Normal,Strong,Cool,Change,No
Sunny,Warm,High,Strong,Warm,Same,Yes
Rainy,Warm,Normal,Weak,Warm,Change,No
Sunny,Cold,High,Strong,Cool,Same,Yes
Cloudy,Warm,High,Weak,Warm,Change,No
Sunny,Warm,Normal,Strong,Cool,Same,Yes
Rainy,Cold,High,Weak,Warm,Change,No
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Cloudy,Cold,High,Strong,Cool,Change,No
Sunny,Cold,Normal,Weak,Warm,Same,Yes
Rainy,Warm,High,Strong,Cool,Change,No
Sunny,Warm,Normal,Weak,Warm,Same,Yes
